"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;17;45;"Aplicação de renda fixa (CDB, RDB e outros)";"BB RF LP HIGH";"207917,40";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;18;97;"VGBL - Vida Gerador de Benefício Livre";"BRASILPREV SEGUROS";"1923927,36";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;1;13;"Terreno";"TERRENO NO BAIRRO DE TETEQUERA EM PINDAMONHAGABA";"110959,51";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;4;45;"Aplicação de renda fixa (CDB, RDB e outros)";"BANCO DO BRASIL - LCA";"161000,00";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;3;45;"Aplicação de renda fixa (CDB, RDB e outros)";"SANTANDER CENTRUM DI";"218147,34";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;2;12;"Casa";"CASA EM PINDAMONHAGABA";"52822,98";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;5;11;"Apartamento";"APARTAMENTO EM SÃO PAULO";"323806,02";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;6;13;"Terreno";"TERRENO EM TETEQUERA EM PINDAMONHAGABA";"30091,04";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;7;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMÓVEL HYUNDAI";"41210,00";"20/08/2026";"16:18:54"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542549;8;61;"Depósito bancário em conta corrente no País";"SANTANDER";"28000,00";"20/08/2026";"16:18:54"
