candidato;codigo_materia;dados_tramitacao
FLAVIO_BOLSONARO;168431;
FLAVIO_BOLSONARO;160457;
FLAVIO_BOLSONARO;161629;
FLAVIO_BOLSONARO;167837;
FLAVIO_BOLSONARO;171124;
FLAVIO_BOLSONARO;169922;
FLAVIO_BOLSONARO;166918;
FLAVIO_BOLSONARO;171886;
FLAVIO_BOLSONARO;137125;
FLAVIO_BOLSONARO;137330;
FLAVIO_BOLSONARO;140255;
FLAVIO_BOLSONARO;149715;
FLAVIO_BOLSONARO;155344;
FLAVIO_BOLSONARO;156559;
FLAVIO_BOLSONARO;156478;
FLAVIO_BOLSONARO;159788;
FLAVIO_BOLSONARO;170486;
FLAVIO_BOLSONARO;169904;
FLAVIO_BOLSONARO;165567;
FLAVIO_BOLSONARO;136254;
FLAVIO_BOLSONARO;136270;
FLAVIO_BOLSONARO;137066;
FLAVIO_BOLSONARO;152323;
FLAVIO_BOLSONARO;156580;
FLAVIO_BOLSONARO;159094;
FLAVIO_BOLSONARO;160771;
FLAVIO_BOLSONARO;161772;
FLAVIO_BOLSONARO;163968;
FLAVIO_BOLSONARO;170687;
FLAVIO_BOLSONARO;167505;
FLAVIO_BOLSONARO;168554;
FLAVIO_BOLSONARO;172742;
FLAVIO_BOLSONARO;173125;
FLAVIO_BOLSONARO;135821;
FLAVIO_BOLSONARO;160163;
FLAVIO_BOLSONARO;160976;
FLAVIO_BOLSONARO;162462;
FLAVIO_BOLSONARO;174153;
FLAVIO_BOLSONARO;174214;
FLAVIO_BOLSONARO;173381;
FLAVIO_BOLSONARO;141617;
FLAVIO_BOLSONARO;150745;
FLAVIO_BOLSONARO;152722;
FLAVIO_BOLSONARO;155368;
FLAVIO_BOLSONARO;156309;
FLAVIO_BOLSONARO;161949;
FLAVIO_BOLSONARO;165061;
FLAVIO_BOLSONARO;168717;
FLAVIO_BOLSONARO;162725;
FLAVIO_BOLSONARO;170869;
FLAVIO_BOLSONARO;162113;
FLAVIO_BOLSONARO;165975;
FLAVIO_BOLSONARO;169684;
FLAVIO_BOLSONARO;165357;
FLAVIO_BOLSONARO;139271;
FLAVIO_BOLSONARO;157258;
FLAVIO_BOLSONARO;160145;
FLAVIO_BOLSONARO;169176;
FLAVIO_BOLSONARO;162359;
FLAVIO_BOLSONARO;167238;
FLAVIO_BOLSONARO;167105;
FLAVIO_BOLSONARO;166346;
FLAVIO_BOLSONARO;169434;
FLAVIO_BOLSONARO;165706;
FLAVIO_BOLSONARO;171522;
FLAVIO_BOLSONARO;174362;
FLAVIO_BOLSONARO;136978;
FLAVIO_BOLSONARO;136742;
FLAVIO_BOLSONARO;137695;
FLAVIO_BOLSONARO;139392;
FLAVIO_BOLSONARO;152847;
FLAVIO_BOLSONARO;154603;
FLAVIO_BOLSONARO;155491;
FLAVIO_BOLSONARO;167181;
FLAVIO_BOLSONARO;169490;
